Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,,,Point Format,Y
Horizontal Units,S,,,,,Horizontal Units,Hz
Horizontal Scale,781250,,,,,Horizontal Scale,781250
Sample Interval,78.125,,,,,Sample Interval,1562.5
Filter Frequency,7e+07,,,,,Filter Frequency,7e+07
Record Length,100000,,,,,Record Length,5000
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,,10,,,Probe Attenuation,1
Vertical Units,V,,V,,,Vertical Units,NONE
Vertical Offset,0,,0,,,Vertical Offset,0
Vertical Scale,2,,2,,,Vertical Scale,20
Label,,,,,,Label,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
0.00000e+00,1.96,1.96,2,2,,0.000e+00,6.16875
7.81250e+01,1.96,1.96,2,2,,1.562e+03,4.64688
1.56250e+02,1.96,1.96,2,2,,3.125e+03,3.12813
2.34375e+02,1.96,1.96,2,2,,4.687e+03,-21.8969
3.12500e+02,1.96,1.96,2,2,,6.250e+03,-46.9219
3.90625e+02,1.96,1.96,2,2,,7.812e+03,-46.9219
4.68750e+02,1.96,1.96,2,2,,9.375e+03,-46.9219
5.46875e+02,1.96,1.96,2,2,,1.094e+04,-45.9875
6.25000e+02,1.96,1.96,2,2,,1.250e+04,-45.05
7.03125e+02,1.96,1.96,2,2,,1.406e+04,-48.0625
7.81250e+02,1.96,1.96,2,2,,1.562e+04,-51.0719
8.59375e+02,1.96,1.96,2,2,,1.719e+04,-47.5781
9.37500e+02,1.96,1.96,2,2,,1.875e+04,-44.0812
1.01562e+03,1.96,2.04,2.08,2.08,,2.031e+04,-46.0719
1.09375e+03,1.96,1.96,2,2,,2.187e+04,-48.0594
1.17187e+03,1.96,1.96,2,2,,2.344e+04,-47.4906
1.25000e+03,2.04,1.96,2,2,,2.500e+04,-46.9219
1.32812e+03,1.96,2.04,2,2,,2.656e+04,-46.2156
1.40625e+03,1.96,1.96,2,2,,2.812e+04,-45.5094
1.48437e+03,1.96,1.96,2,2,,2.969e+04,-48.2906
1.56250e+03,1.96,1.96,2,2,,3.125e+04,-51.0719
1.64062e+03,1.96,1.96,2,2,,3.281e+04,-50.0531
1.71875e+03,1.96,1.96,2,2,,3.437e+04,-49.0312
1.79687e+03,1.96,1.96,2,2,,3.594e+04,-50.0531
1.87500e+03,2.04,1.96,2,2,,3.750e+04,-51.0719
1.95312e+03,1.96,2.04,2,2,,3.906e+04,-49.5656
2.03125e+03,1.96,1.96,2,2,,4.062e+04,-48.0594
2.10937e+03,1.96,1.96,2,2,,4.219e+04,-51.5562
2.18750e+03,1.96,1.96,2,2,,4.375e+04,-55.05
2.26562e+03,1.96,1.96,2,2,,4.531e+04,-52.0406
2.34375e+03,1.96,1.96,2,2,,4.687e+04,-49.0312
2.42187e+03,1.96,1.96,2,2,,4.844e+04,-41.4969
2.50000e+03,1.96,1.96,2,2,,5.000e+04,-33.9625
2.57812e+03,1.96,1.96,2,2,,5.156e+04,-38.1719
2.65625e+03,1.96,1.96,2,2,,5.312e+04,-42.3781
2.73437e+03,1.96,1.96,2,2,,5.469e+04,-44.0688
2.81250e+03,2.04,1.96,2,2,,5.625e+04,-45.7563
2.89062e+03,1.96,2.04,2,2,,5.781e+04,-36.9813
2.96875e+03,1.96,1.96,2,2,,5.937e+04,-28.2031
3.04687e+03,1.96,1.96,2,2.08,,6.094e+04,-20.3156
3.12500e+03,1.96,1.96,2,2,,6.250e+04,-12.4281
3.20312e+03,1.96,1.96,2,2.08,,6.406e+04,-10.5906
3.28125e+03,1.96,1.96,2,2,,6.562e+04,-8.75312
3.35937e+03,1.96,1.96,2,2,,6.719e+04,-12.3031
3.43750e+03,1.96,1.96,2,2,,6.875e+04,-15.85
3.51562e+03,1.96,1.96,2,2,,7.031e+04,-23.2281
3.59375e+03,1.96,1.96,2,2,,7.187e+04,-30.6031
3.67187e+03,1.96,1.96,2,2.08,,7.344e+04,-35.1688
3.75000e+03,1.96,1.96,2,2,,7.500e+04,-39.7344
3.82812e+03,1.96,1.96,2,2,,7.656e+04,-41.9094
3.90625e+03,1.96,1.96,2,2,,7.812e+04,-44.0812
3.98437e+03,1.96,1.96,2,2,,7.969e+04,-46.3
4.06250e+03,1.96,1.96,2,2,,8.125e+04,-48.5187
4.14062e+03,1.96,1.96,2,2,,8.281e+04,-47.1375
4.21875e+03,1.96,1.96,2,2,,8.437e+04,-45.7563
4.29687e+03,1.96,1.96,2,2,,8.594e+04,-48.4156
4.37500e+03,1.96,1.96,2.08,2,,8.750e+04,-51.0719
4.45312e+03,1.96,1.96,2,2.08,,8.906e+04,-49.5656
4.53125e+03,1.96,1.96,2,2,,9.062e+04,-48.0594
4.60937e+03,1.96,1.96,2,2.08,,9.219e+04,-49.5656
4.68750e+03,1.96,1.96,2,2,,9.375e+04,-51.0719
4.76562e+03,1.96,1.96,2,2,,9.531e+04,-50.0531
4.84375e+03,1.96,1.96,2,2,,9.687e+04,-49.0312
4.92187e+03,1.96,1.96,2,2,,9.844e+04,-50.5375
5.00000e+03,1.96,1.96,2,2,,1.000e+05,-52.0406
5.07812e+03,1.96,1.96,2,2,,1.016e+05,-50.05
5.15625e+03,1.96,1.96,2,2,,1.031e+05,-48.0594
5.23437e+03,1.96,1.96,2,2,,1.047e+05,-48.0594
5.31250e+03,1.96,1.96,2,2,,1.062e+05,-48.0594
5.39062e+03,1.96,1.96,2,2,,1.078e+05,-47.4906
5.46875e+03,1.96,1.96,2,2,,1.094e+05,-46.9219
5.54687e+03,1.96,1.96,2,2.08,,1.109e+05,-48.9969
5.62500e+03,1.96,1.96,2,2,,1.125e+05,-51.0719
5.70312e+03,1.96,1.96,2,2,,1.141e+05,-49.5656
5.78125e+03,1.96,1.96,2,2,,1.156e+05,-48.0594
5.85937e+03,1.96,1.96,2,2,,1.172e+05,-48.5469
5.93750e+03,1.96,1.96,2,2,,1.187e+05,-49.0312
6.01562e+03,1.96,1.96,2,2,,1.203e+05,-52.0406
6.09375e+03,1.96,1.96,2,2,,1.219e+05,-55.05
6.17187e+03,1.96,1.96,2,2,,1.234e+05,-52.0406
6.25000e+03,1.96,1.96,2,2,,1.250e+05,-49.0312
6.32812e+03,1.96,1.96,2,2,,1.266e+05,-48.5469
6.40625e+03,1.96,1.96,2,2,,1.281e+05,-48.0594
6.48437e+03,1.96,1.96,2,2,,1.297e+05,-47.0406
6.56250e+03,1.96,1.96,2,2,,1.312e+05,-46.0187
