Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,7e+07,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-10.00000e-06,-1.35276378691e00,368.84422600e-03
-9.99000e-06,-1.27236177772e00,368.84422600e-03
-9.98000e-06,-1.43316579610e00,328.64322141e-03
-9.97000e-06,-1.35276378691e00,368.84422600e-03
-9.96000e-06,-1.35276378691e00,366.33166322e-03
-9.95000e-06,-1.35276378691e00,366.33166322e-03
-9.94000e-06,-1.43316579610e00,368.84422600e-03
-9.93000e-06,-1.35276378691e00,368.84422600e-03
-9.92000e-06,-1.43316579610e00,368.84422600e-03
-9.91000e-06,-1.43316579610e00,328.64322141e-03
-9.90000e-06,-1.43316579610e00,368.84422600e-03
-9.89000e-06,-1.43316579610e00,368.84422600e-03
-9.88000e-06,-1.43316579610e00,368.84422600e-03
-9.87000e-06,-1.35778891249e00,368.84422600e-03
-9.86000e-06,-1.43316579610e00,328.64322141e-03
-9.85000e-06,-1.43316579610e00,368.84422600e-03
-9.84000e-06,-1.43316579610e00,368.84422600e-03
-9.83000e-06,-1.43316579610e00,328.64322141e-03
-9.82000e-06,-1.51356780529e00,328.64322141e-03
-9.81000e-06,-1.43316579610e00,368.84422600e-03
-9.80000e-06,-1.43819092168e00,368.84422600e-03
-9.79000e-06,-1.51356780529e00,368.84422600e-03
-9.78000e-06,-1.59396981448e00,328.64322141e-03
-9.77000e-06,-1.51356780529e00,368.84422600e-03
-9.76000e-06,-1.51356780529e00,368.84422600e-03
-9.75000e-06,-1.51356780529e00,368.84422600e-03
-9.74000e-06,-1.59396981448e00,328.64322141e-03
-9.73000e-06,-1.51356780529e00,368.84422600e-03
-9.72000e-06,-1.59396981448e00,366.33166322e-03
-9.71000e-06,-1.51356780529e00,366.33166322e-03
-9.70000e-06,-1.59396981448e00,328.64322141e-03
-9.69000e-06,-1.59396981448e00,368.84422600e-03
-9.68000e-06,-1.59396981448e00,368.84422600e-03
-9.67000e-06,-1.59396981448e00,328.64322141e-03
-9.66000e-06,-1.59899494005e00,328.64322141e-03
-9.65000e-06,-1.67437182367e00,368.84422600e-03
-9.64000e-06,-1.59396981448e00,368.84422600e-03
-9.63000e-06,-1.67437182367e00,368.84422600e-03
-9.62000e-06,-1.67437182367e00,328.64322141e-03
-9.61000e-06,-1.67437182367e00,368.84422600e-03
-9.60000e-06,-1.67437182367e00,368.84422600e-03
-9.59000e-06,-1.67437182367e00,328.64322141e-03
-9.58000e-06,-1.67437182367e00,328.64322141e-03
-9.57000e-06,-1.67437182367e00,368.84422600e-03
-9.56000e-06,-1.67939694924e00,368.84422600e-03
-9.55000e-06,-1.67437182367e00,368.84422600e-03
-9.54000e-06,-1.75477383286e00,328.64322141e-03
-9.53000e-06,-1.75477383286e00,366.33166322e-03
-9.52000e-06,-1.75477383286e00,328.64322141e-03
-9.51000e-06,-1.75477383286e00,366.33166322e-03
-9.50000e-06,-1.75477383286e00,328.64322141e-03
-9.49000e-06,-1.75477383286e00,328.64322141e-03
-9.48000e-06,-1.75477383286e00,328.64322141e-03
-9.47000e-06,-1.75477383286e00,368.84422600e-03
-9.46000e-06,-1.83517584205e00,368.84422600e-03
-9.45000e-06,-1.75979895843e00,366.33166322e-03
-9.44000e-06,-1.75979895843e00,328.64322141e-03
-9.43000e-06,-1.75477383286e00,368.84422600e-03
-9.42000e-06,-1.83517584205e00,328.64322141e-03
-9.41000e-06,-1.83517584205e00,368.84422600e-03
-9.40000e-06,-1.83517584205e00,368.84422600e-03
-9.39000e-06,-1.83517584205e00,328.64322141e-03
-9.38000e-06,-1.83517584205e00,328.64322141e-03
-9.37000e-06,-1.83517584205e00,366.33166322e-03
-9.36000e-06,-1.83517584205e00,368.84422600e-03
-9.35000e-06,-1.83517584205e00,368.84422600e-03
-9.34000e-06,-1.83517584205e00,368.84422600e-03
-9.33000e-06,-1.91557785124e00,368.84422600e-03
-9.32000e-06,-1.83517584205e00,366.33166322e-03
-9.31000e-06,-1.83517584205e00,328.64322141e-03
-9.30000e-06,-1.91557785124e00,328.64322141e-03
-9.29000e-06,-1.91557785124e00,368.84422600e-03
-9.28000e-06,-1.91557785124e00,366.33166322e-03
-9.27000e-06,-1.83517584205e00,368.84422600e-03
-9.26000e-06,-1.91557785124e00,328.64322141e-03
-9.25000e-06,-1.91557785124e00,368.84422600e-03
-9.24000e-06,-1.91557785124e00,328.64322141e-03
-9.23000e-06,-1.91557785124e00,368.84422600e-03
-9.22000e-06,-1.91557785124e00,368.84422600e-03
-9.21000e-06,-1.99597986043e00,366.33166322e-03
-9.20000e-06,-1.99597986043e00,366.33166322e-03
-9.19000e-06,-1.99597986043e00,368.84422600e-03
-9.18000e-06,-1.99597986043e00,328.64322141e-03
-9.17000e-06,-1.99597986043e00,368.84422600e-03
-9.16000e-06,-1.99597986043e00,328.64322141e-03
-9.15000e-06,-1.99597986043e00,368.84422600e-03
-9.14000e-06,-1.99597986043e00,328.64322141e-03
-9.13000e-06,-1.99597986043e00,368.84422600e-03
-9.12000e-06,-1.99597986043e00,368.84422600e-03
-9.11000e-06,-1.99597986043e00,328.64322141e-03
-9.10000e-06,-2.07638186961e00,368.84422600e-03
-9.09000e-06,-2.07638186961e00,366.33166322e-03
-9.08000e-06,-2.07638186961e00,368.84422600e-03
-9.07000e-06,-1.99597986043e00,368.84422600e-03
-9.06000e-06,-1.99597986043e00,328.64322141e-03
-9.05000e-06,-2.07638186961e00,368.84422600e-03
-9.04000e-06,-2.00100498600e00,368.84422600e-03
-9.03000e-06,-2.07638186961e00,368.84422600e-03
-9.02000e-06,-2.07638186961e00,328.64322141e-03
-9.01000e-06,-2.07638186961e00,368.84422600e-03
-9.00000e-06,-2.07638186961e00,328.64322141e-03
-8.99000e-06,-2.07638186961e00,368.84422600e-03
-8.98000e-06,-2.15678387880e00,328.64322141e-03
-8.97000e-06,-2.08140699519e00,366.33166322e-03
-8.96000e-06,-2.07638186961e00,366.33166322e-03
-8.95000e-06,-2.07638186961e00,328.64322141e-03
-8.94000e-06,-2.15678387880e00,328.64322141e-03
-8.93000e-06,-2.15678387880e00,366.33166322e-03
-8.92000e-06,-2.07638186961e00,368.84422600e-03
-8.91000e-06,-2.07638186961e00,368.84422600e-03
-8.90000e-06,-2.15678387880e00,328.64322141e-03
-8.89000e-06,-2.15678387880e00,368.84422600e-03
-8.88000e-06,-2.15678387880e00,366.33166322e-03
-8.87000e-06,-2.15678387880e00,328.64322141e-03
-8.86000e-06,-2.15678387880e00,328.64322141e-03
-8.85000e-06,-2.15678387880e00,368.84422600e-03
-8.84000e-06,-2.16180900438e00,368.84422600e-03
-8.83000e-06,-2.15678387880e00,368.84422600e-03
